Episode,Success,Steps,Reward,PathDistance
7,0,146,-0.02919997,34.85982
8,0,154,-0.03079996,31.77122
8,0,128,-3.025604,31.93159
9,0,0,0,0
9,0,340,-1.568011,55.51542
10,0,0,0,0
9,0,0,0,0
10,0,0,0,0
9,0,0,0,0
9,0,136,-1.027205,33.45124
10,0,0,0,0
7,0,426,-3.085181,64.78724
8,0,0,0,0
8,0,0,0,0
8,0,0,0,0
8,0,0,0,0
7,0,310,0.4379994,51.23911
8,0,0,0,0
6,0,242,0.4515999,39.45274
7,0,194,0.4611997,42.35894
6,0,196,-0.03919995,36.77155
6,0,264,-1.552809,44.21619
7,0,0,0,0
7,0,0,0,0
9,0,346,-4.069129,53.2476
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
9,0,146,-3.029205,33.40276
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
9,0,181,-0.03619995,37.12152
10,0,175,-2.035006,34.01702
11,0,0,0,0
11,0,0,0,0
6,0,371,-0.5741978,56.18853
7,0,0,0,0
8,0,296,-1.55921,47.8797
9,0,0,0,0
8,0,216,-0.04319994,40.45028
6,0,262,0.4475998,43.49849
8,0,123,-0.02459997,31.44044
8,0,180,-4.035963,36.29214
9,0,0,0,0
9,0,0,0,0
9,0,0,0,0
9,0,0,0,0
7,0,173,-0.03459996,34.52293
7,0,124,-2.024804,32.37548
8,0,0,0,0
8,0,0,0,0
10,0,121,-4.024175,31.09613
11,0,0,0,0
11,0,0,0,0
11,0,0,0,0
11,0,0,0,0
8,0,244,-0.04880355,42.52889
9,0,0,0,0
11,0,119,-2.023804,32.30126
12,0,0,0,0
12,0,0,0,0
10,0,292,-0.6614019,47.16826
11,0,0,0,0
7,0,238,0.952401,44.61131
9,0,148,-0.02959996,33.48105
7,0,163,-1.032605,35.17774
10,0,197,-0.03939995,35.13413
10,0,222,-3.044407,37.75804
11,0,0,0,0
11,0,0,0,0
11,0,0,0,0
11,0,0,0,0
11,0,0,0,0
9,0,171,-4.034165,36.42757
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
7,0,248,0.4503995,45.758
8,0,179,-2.035806,38.66935
9,0,0,0,0
9,0,0,0,0
11,0,131,-1.026204,31.14242
9,0,263,0.8390009,43.13535
9,0,274,-1.054809,45.38087
11,0,197,-3.539375,40.23014
12,0,0,0,0
12,0,0,0,0
12,0,0,0,0
12,0,0,0,0
12,0,201,-1.540207,40.12411
13,0,0,0,0
13,0,0,0,0
11,0,135,-5.026972,33.12973
12,0,0,0,0
12,0,0,0,0
12,0,0,0,0
8,0,274,0.4451997,48.13584
10,0,145,-4.02897,32.95076
11,0,0,0,0
11,0,0,0,0
11,0,0,0,0
11,0,0,0,0
10,0,200,0.4599998,41.12817
6,0,585,-2.117019,81.57571
7,0,0,0,0
7,0,0,0,0
7,0,0,0,0
7,0,0,0,0
7,0,0,0,0
9,0,265,-0.5530004,47.23069
8,0,137,-0.02739997,33.84681
12,0,142,-0.02839997,34.14864
13,0,0,0,0
8,0,289,0.9422031,50.73114
12,0,119,-3.023804,32.42341
13,0,0,0,0
13,0,0,0,0
13,0,0,0,0
13,0,0,0,0
13,0,0,0,0
10,0,194,-0.03879995,38.0881
11,0,0,0,0
9,0,158,-0.03159996,35.20345
13,0,175,-2.035006,37.11928
14,0,0,0,0
14,0,0,0,0
12,0,218,-3.54358,43.36573
13,0,0,0,0
13,0,0,0,0
13,0,0,0,0
13,0,0,0,0
8,0,339,0.9322037,54.07392
9,0,0,0,0
7,0,168,-5.033566,37.42266
8,0,0,0,0
8,0,0,0,0
